Symbol,Company Name,Industry,ListingDate
RECLTD,REC Ltd.,Financial Services,2008-03-12
RHIM,RHI MAGNESITA INDIA LTD.,Capital Goods,2012-03-12
RITES,RITES Ltd.,Construction,2018-07-02
RADICO,Radico Khaitan Ltd,Fast Moving Consumer Goods,2003-06-18
RVNL,Rail Vikas Nigam Ltd.,Construction,2019-04-11
RAILTEL,Railtel Corporation Of India Ltd.,Telecommunication,2021-02-26
RAINBOW,Rainbow Childrens Medicare Ltd.,Healthcare,2022-05-10
RKFORGE,Ramkrishna Forgings Ltd.,Automobile and Auto Components,2004-05-05
REDINGTON,Redington Ltd.,Services,2007-02-15
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,1995-11-29
RPOWER,Reliance Power Ltd.,Power,2008-02-11
SBFC,SBFC Finance Ltd.,Financial Services,2023-08-16
SBICARD,SBI Cards and Payment Services Ltd.,Financial Services,2020-03-16
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,2017-10-03
SJVN,SJVN Ltd.,Power,2010-05-20
SRF,SRF Ltd.,Chemicals,2003-08-18
SAGILITY,Sagility Ltd.,Information Technology,2024-11-12
SAILIFE,Sai Life Sciences Ltd.,Healthcare,2024-12-18
SAMMAANCAP,Sammaan Capital Ltd.,Financial Services,2013-07-23
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,1996-08-14
SAPPHIRE,Sapphire Foods India Ltd.,Consumer Services,2021-11-18
SARDAEN,Sarda Energy and Minerals Ltd.,Metals & Mining,2009-12-03
SAREGAMA,Saregama India Ltd,Media Entertainment & Publication,1997-07-30
SCHAEFFLER,Schaeffler India Ltd.,Automobile and Auto Components,2000-11-29
SCHNEIDER,Schneider Electric Infrastructure Ltd.,Capital Goods,2012-03-20
SCI,Shipping Corporation of India Ltd.,Services,1997-08-13
SHREECEM,Shree Cement Ltd.,Construction Materials,1995-04-26
SHRIRAMFIN,Shriram Finance Ltd.,Financial Services,1996-12-11
SHYAMMETL,Shyam Metalics and Energy Ltd.,Capital Goods,2021-06-24
ENRIN,Siemens Energy India Ltd.,Capital Goods,2025-06-19
SIEMENS,Siemens Ltd.,Capital Goods,1995-09-06
SIGNATURE,Signatureglobal (India) Ltd.,Realty,2023-09-27
SOBHA,Sobha Ltd.,Realty,2006-12-20
SOLARINDS,Solar Industries India Ltd.,Chemicals,2006-04-03
SONACOMS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,2021-06-24
SONATSOFTW,Sonata Software Ltd.,Information Technology,1999-07-28
STARHEALTH,Star Health and Allied Insurance Company Ltd.,Financial Services,2021-12-10
SBIN,State Bank of India,Financial Services,1995-03-01
SAIL,Steel Authority of India Ltd.,Metals & Mining,1995-07-06
SUMICHEM,Sumitomo Chemical India Ltd.,Chemicals,2020-01-27
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,1995-02-08
SUNTV,Sun TV Network Ltd.,Media Entertainment & Publication,2006-04-24
SUNDARMFIN,Sundaram Finance Ltd.,Financial Services,1998-01-07
SUPREMEIND,Supreme Industries Ltd.,Capital Goods,1995-07-19
SPLPETRO,Supreme Petrochem Ltd.,Chemicals,2022-05-24
SUZLON,Suzlon Energy Ltd.,Capital Goods,2005-10-19
SWANCORP,Swan Corp Ltd.,Chemicals,2012-05-29
SWIGGY,Swiggy Ltd.,Consumer Services,2024-11-13
SYNGENE,Syngene International Ltd.,Healthcare,2015-08-11
SYRMA,Syrma SGS Technology Ltd.,Capital Goods,2022-08-26
TBOTEK,TBO Tek Ltd.,Consumer Services,2024-05-15
TVSMOTOR,TVS Motor Company Ltd.,Automobile and Auto Components,2000-08-02
TATACAP,Tata Capital Ltd.,Financial Services,2025-10-13
TATACHEM,Tata Chemicals Ltd.,Chemicals,1999-04-01
TATACOMM,Tata Communications Ltd.,Telecommunication,1995-04-12
TCS,Tata Consultancy Services Ltd.,Information Technology,2004-08-25
TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,1998-11-18
TATAELXSI,Tata Elxsi Ltd.,Information Technology,2003-09-17
TATAINVEST,Tata Investment Corporation Ltd.,Financial Services,1998-06-24
TMCV,Tata Motors Ltd.,Capital Goods,2025-11-12
TMPV,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,1998-07-22
TATAPOWER,Tata Power Co. Ltd.,Power,1996-04-03
TATASTEEL,Tata Steel Ltd.,Metals & Mining,1998-11-18
TATATECH,Tata Technologies Ltd.,Information Technology,2023-11-30
TTML,Tata Teleservices (Maharashtra) Ltd.,Telecommunication,2000-10-20
TECHM,Tech Mahindra Ltd.,Information Technology,2006-08-28
TECHNOE,Techno Electric & Engineering Company Ltd.,Construction,2018-12-04
TEGA,Tega Industries Ltd.,Capital Goods,2021-12-13
TEJASNET,Tejas Networks Ltd.,Telecommunication,2017-06-27
TENNIND,Tenneco Clean Air India Ltd.,Automobile and Auto Components,2025-11-19
NIACL,The New India Assurance Company Ltd.,Financial Services,2017-11-13
RAMCOCEM,The Ramco Cements Ltd.,Construction Materials,1997-04-09
THERMAX,Thermax Ltd.,Capital Goods,1995-08-30
TIMKEN,Timken India Ltd.,Capital Goods,2007-02-06
TITAGARH,Titagarh Rail Systems Ltd.,Capital Goods,2008-04-21
TITAN,Titan Company Ltd.,Consumer Durables,2004-09-24
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare,2002-11-25
TORNTPOWER,Torrent Power Ltd.,Power,2006-11-28
TARIL,Transformers And Rectifiers (India) Ltd.,Capital Goods,2007-12-28
TRAVELFOOD,Travel Food Services Ltd.,Consumer Services,2025-07-14
TRENT,Trent Ltd.,Consumer Services,2004-06-07
TRIDENT,Trident Ltd.,Textiles,2001-02-21
TRITURBINE,Triveni Turbine Ltd.,Capital Goods,2011-10-28
TIINDIA,Tube Investments of India Ltd.,Automobile and Auto Components,2017-11-02
UCOBANK,UCO Bank,Financial Services,2003-10-09
UNOMINDA,UNO Minda Ltd.,Automobile and Auto Components,2007-02-02
UPL,UPL Ltd.,Chemicals,2004-01-23
UTIAMC,UTI Asset Management Company Ltd.,Financial Services,2020-10-12
ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials,2004-08-24
UNIONBANK,Union Bank of India,Financial Services,2002-09-24
UBL,United Breweries Ltd.,Fast Moving Consumer Goods,2008-07-28
UNITDSPR,United Spirits Ltd.,Fast Moving Consumer Goods,2001-09-27
URBANCO,Urban Company Ltd.,Consumer Services,2025-09-17
USHAMART,Usha Martin Ltd.,Capital Goods,2000-10-11
VTL,Vardhman Textiles Ltd.,Textiles,2003-01-14
VBL,Varun Beverages Ltd.,Fast Moving Consumer Goods,2016-11-08
VEDL,Vedanta Ltd.,Metals & Mining,1998-05-13
VIJAYA,Vijaya Diagnostic Centre Ltd.,Healthcare,2021-09-14
VMM,Vishal Mega Mart Ltd.,Consumer Services,2024-12-18
IDEA,Vodafone Idea Ltd.,Telecommunication,2007-03-09
VOLTAS,Voltas Ltd.,Consumer Durables,1995-04-12
WAAREEENER,Waaree Energies Ltd.,Capital Goods,2024-10-28
WELCORP,Welspun Corp Ltd.,Capital Goods,2005-05-24
WELSPUNLIV,Welspun Living Ltd.,Textiles,2003-12-04
WHIRLPOOL,Whirlpool of India Ltd.,Consumer Durables,2010-04-06
WIPRO,Wipro Ltd.,Information Technology,1995-11-08
WOCKPHARMA,Wockhardt Ltd.,Healthcare,2000-02-23
YESBANK,Yes Bank Ltd.,Financial Services,2005-07-12
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,2008-10-01
ZEEL,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,1998-09-09
ZENTEC,Zen Technologies Ltd.,Capital Goods,2015-03-30
ZENSARTECH,Zensar Technolgies Ltd.,Information Technology,2003-07-09
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,2000-04-18
ZYDUSWELL,Zydus Wellness Ltd.,Fast Moving Consumer Goods,2009-11-13
ECLERX,eClerx Services Ltd.,Services,2007-12-31
