Symbol,Company Name,Industry,ListingDate
BLUESTARCO,Blue Star Ltd.,Consumer Durables,2000-06-15
BBTC,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,1996-04-03
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,2003-05-12
FIRSTCRY,Brainbees Solutions Ltd.,Consumer Services,2024-08-13
BRIGADE,Brigade Enterprises Ltd.,Realty,2007-12-31
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods,1998-11-05
MAPMYINDIA,C.E. Info Systems Ltd.,Information Technology,2021-12-21
CCL,CCL Products (I) Ltd.,Fast Moving Consumer Goods,2004-06-07
CESC,CESC Ltd.,Power,1995-02-08
CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods,1995-03-01
CIEINDIA,CIE Automotive India Ltd.,Automobile and Auto Components,2007-08-30
CRISIL,CRISIL Ltd.,Financial Services,1995-06-28
CANFINHOME,Can Fin Homes Ltd.,Financial Services,1995-05-10
CANBK,Canara Bank,Financial Services,2002-12-23
CANHLIFE,Canara HSBC Life Insurance Company Ltd.,Financial Services,2025-10-17
CAPLIPOINT,Caplin Point Laboratories Ltd.,Healthcare,2014-06-23
CGCL,Capri Global Capital Ltd.,Financial Services,2010-10-29
CARBORUNIV,Carborundum Universal Ltd.,Capital Goods,1996-04-03
CARTRADE,Cartrade Tech Ltd.,Consumer Services,2021-08-20
CASTROLIND,Castrol India Ltd.,Oil Gas & Consumable Fuels,2014-03-14
CEATLTD,Ceat Ltd.,Automobile and Auto Components,2008-02-01
CEMPRO,Cemindia Projects Ltd.,Construction,1999-02-10
CENTRALBK,Central Bank of India,Financial Services,2007-08-21
CDSL,Central Depository Services (India) Ltd.,Financial Services,2017-06-30
CHALET,Chalet Hotels Ltd.,Consumer Services,2019-02-07
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,Chemicals,1995-06-14
CHENNPETRO,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,2000-06-07
CHOICEIN,Choice International Ltd.,Financial Services,2022-04-08
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,Financial Services,2017-09-25
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Financial Services,1996-05-15
CIPLA,Cipla Ltd.,Healthcare,1995-02-08
CUB,City Union Bank Ltd.,Financial Services,1998-08-25
CLEAN,Clean Science and Technology Ltd.,Chemicals,2021-07-19
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels,2010-11-04
COCHINSHIP,Cochin Shipyard Ltd.,Capital Goods,2017-08-11
COFORGE,Coforge Ltd.,Information Technology,2004-08-30
COHANCE,Cohance Lifesciences Ltd.,Healthcare,2020-03-09
COLPAL,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,2007-12-17
CAMS,Computer Age Management Services Ltd.,Financial Services,2021-05-07
CONCORDBIO,Concord Biotech Ltd.,Healthcare,2023-08-18
CONCOR,Container Corporation of India Ltd.,Services,1997-05-07
COROMANDEL,Coromandel International Ltd.,Chemicals,1995-05-31
CRAFTSMAN,Craftsman Automation Ltd.,Automobile and Auto Components,2021-03-25
CREDITACC,CreditAccess Grameen Ltd.,Financial Services,2018-08-23
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,2016-05-13
CUMMINSIND,Cummins India Ltd.,Capital Goods,1995-03-29
CYIENT,Cyient Ltd.,Information Technology,1998-09-30
DCMSHRIRAM,DCM Shriram Ltd.,Diversified,1995-04-12
DLF,DLF Ltd.,Realty,2007-07-05
DOMS,DOMS Industries Ltd.,Fast Moving Consumer Goods,2023-12-20
DABUR,Dabur India Ltd.,Fast Moving Consumer Goods,1999-04-28
DALBHARAT,Dalmia Bharat Ltd.,Construction Materials,2019-01-22
DATAPATTNS,Data Patterns (India) Ltd.,Capital Goods,2021-12-24
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,2003-01-17
DEEPAKNTR,Deepak Nitrite Ltd.,Chemicals,2010-09-29
DELHIVERY,Delhivery Ltd.,Services,2022-05-24
DEVYANI,Devyani International Ltd.,Consumer Services,2021-08-16
DIVISLAB,Divi's Laboratories Ltd.,Healthcare,2003-03-12
DIXON,Dixon Technologies (India) Ltd.,Consumer Durables,2017-09-18
LALPATHLAB,Dr. Lal Path Labs Ltd.,Healthcare,2015-12-23
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,2003-05-30
EIDPARRY,E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,1995-05-10
