Freq,Cost_bps,CAGR (%),Sharpe,Sortino,Max Drawdown (%),Turnover_%mo
weekly,10,43.55,1.43,1.73,-47.88,14.9
weekly,25,40.35,1.33,1.61,-50.56,14.9
weekly,50,35.17,1.17,1.41,-54.72,14.9
monthly,10,44.26,1.45,1.77,-40.05,28.4
monthly,25,42.77,1.41,1.72,-41.48,28.4
monthly,50,40.31,1.33,1.63,-43.79,28.4
quarterly,10,41.44,1.38,1.69,-44.48,48.8
quarterly,25,40.6,1.35,1.65,-45.23,48.8
quarterly,50,39.22,1.31,1.6,-46.46,48.8
